,uf,codigo,area,populacao,densidade,matricula,idh,receitas,despesas,rendimento,veiculos,regiao_nome,sigla,estado,latitude,longitude
0,Acre,12,164123.964,894470,4.47,157646,0.663,6632883.10836,6084416.8063,890,277831,Norte,AC,AC,-9.418079246863636,-69.716126045
1,Alagoas,27,27843.295,3351543,112.33,490587,0.631,11950438.46015,10460634.91711,731,834827,Nordeste,AL,AL,-9.516064782196079,-36.482509905392156
2,Amapá,16,142470.762,861773,4.69,136185,0.708,5396417.14471,4224464.08829,880,195039,Norte,AP,AP,0.9105309189375,-51.362147499375
3,Amazonas,13,1559167.889,4207714,2.23,705007,0.674,17328459.43402,15324896.55705,842,883083,Norte,AM,AM,-3.930346113822581,-63.227019872741934
4,Bahia,29,564760.427,14930634,24.82,2034711,0.66,50191003.24052,45570160.0038,913,4139107,Nordeste,BA,BA,-12.913857580560094,-40.41304463173076
5,Ceará,23,148894.441,9187103,56.76,1198116,0.682,28420222.47191,24608352.18276,942,3148369,Nordeste,CE,CE,-4.937463765224043,-39.50204406868853
6,Distrito Federal,53,5760.783,3055149,444.66,377622,0.824,23812211.27074,21990464.6849,2686,1812473,CentroOeste,DF,DF,-15.79408736,-47.88790548
7,Espírito Santo,32,46074.447,4064052,76.25,502059,0.74,19685616.74376,14392338.00188,1477,1936862,Sudeste,ES,ES,-19.889001210897437,-40.81346394692308
8,Goiás,52,340203.329,7113540,17.65,877593,0.735,37885335.16848,24248380.34233,1306,3909429,CentroOeste,GO,GO,-16.19702021292683,-49.4480641796748
9,Maranhão,21,329642.182,7114598,19.81,1178949,0.639,18503261.35491,17627170.75574,636,1696683,Nordeste,MA,MA,-4.239932476402778,-44.91281205796296
10,Mato Grosso,51,903207.019,3526220,3.36,471613,0.725,23958528.83588,18187363.27009,1403,2080848,CentroOeste,MT,MT,-13.552388706852941,-55.43251078985294
11,Mato Grosso do Sul,50,357145.534,2809394,6.86,404114,0.729,16396655.77012,14506915.37404,1514,1583142,CentroOeste,MS,MS,-21.266691170897435,-54.499886911794874
12,Minas Gerais,31,586521.123,21292666,33.41,2511483,0.731,97199823.15616,98391669.16323,1358,11191341,Sudeste,MG,MG,-19.582960951024738,-44.10354791618375
13,Pará,15,1245870.798,8690745,6.07,1439788,0.646,25849446.10454,22533470.04547,807,2013952,Norte,PA,PA,-2.966833561535211,-49.74990497169014
14,Paraíba,25,56467.242,4039277,66.7,556248,0.658,13097005.31928,10074700.04266,929,1293668,Nordeste,PB,PB,-7.063472410641255,-36.644335973946184
15,Paraná,41,199298.979,11516840,52.4,1427218,0.749,60163576.12246,55534402.97483,1621,7571122,Sul,PR,PR,-24.384858379496222,-51.86372105088161
16,Pernambuco,26,98067.881,9616621,89.62,1301930,0.673,35746028.97102,33320486.44445,970,3010638,Nordeste,PE,PE,-8.220701011652174,-36.66794168956522
17,Piauí,22,251756.515,3281480,12.4,480126,0.646,12124215.61511,9676736.31835,827,1196192,Nordeste,PI,PI,-6.711172210481651,-42.41813932454128
18,Rio de Janeiro,33,43750.427,17366189,365.23,2003315,0.761,78488140.78862,67965548.69757,1882,6725822,Sudeste,RJ,RJ,-22.28765588880435,-42.82090962760869
19,Rio Grande do Norte,24,52809.602,3534165,59.99,467629,0.684,13527552.73159,11330957.55333,1057,1290903,Nordeste,RN,RN,-5.978924078363637,-36.609938688727276
20,Rio Grande do Sul,43,281707.156,11422973,37.96,1298736,0.746,66397468.17915,62476279.34364,1843,7077972,Sul,RS,RS,-28.961388981882592,-52.621467758583
21,Rondônia,11,237765.24,1796460,6.58,269626,0.69,9122310.72305,7085530.0168,1136,985047,Norte,RO,RO,-11.139294328,-62.39673908777778
22,Roraima,14,223644.527,631181,2.01,96582,0.707,4419450.41557,3384683.73914,1044,219290,Norte,RR,RR,2.5727502362666663,-60.535371944
23,Santa Catarina,42,95730.684,7252502,65.27,851993,0.774,34696772.82078,25595103.37918,1769,5152615,Sul,SC,SC,-27.25502728341297,-50.71853832204778
24,São Paulo,35,248219.481,46289333,166.23,5367614,0.783,232822496.56706,231982243.69176,1946,29057749,Sudeste,SP,SP,-22.139716707426356,-48.64371969015504
25,Sergipe,28,21925.424,2318822,94.36,331297,0.665,10145046.95355,8494927.19996,980,772380,Nordeste,SE,SE,-10.625534015743243,-37.27803880486486
26,Tocantins,17,277466.763,1590248,4.98,246183,0.699,10305099.01288,8929456.43836,1056,690169,Norte,TO,TO,-9.286608404854015,-48.17817120153284
